Player,Squad,League,Age,Elite_Roles,Roles,Average_Role_Score,Best_Role_Score
Adam Sørensen,Odense,Danish Superliga,24.0,2,Aggressive Defender | Two-Way Defender,83.86056838365897,84.87655417406751
Alberto costa,Porto,Portuguese Primeira Liga,21.0,2,Aggressive Defender | Two-Way Defender,76.54351687388987,77.23090586145648
Albian Hajdari,Hoffenheim,German Bundesliga,22.0,2,Aggressive Defender | Two-Way Defender,76.03818827708704,78.13232682060392
Alonzo Engwanda,Utrecht,Eredivisie,22.0,1,Defensive Midfielder,70.45520581113801,70.45520581113801
André Inácio,Rio Ave,Portuguese Primeira Liga,23.0,1,Creative Forward,78.89673913043477,78.89673913043477
Aral Şimşir,Midtjylland,Danish Superliga,23.0,1,Creative Forward,79.38315217391306,79.38315217391306
Asker Beck,Viborg,Danish Superliga,22.0,1,Creative Midfielder,73.91162227602906,73.91162227602906
Basar Onal,NEC Nijmegen,Eredivisie,21.0,1,Creative Midfielder,73.08595641646491,73.08595641646491
Boris Matić,RZ Pellets WAC,Austrian Bundesliga,20.0,2,Aggressive Defender | Two-Way Defender,80.80461811722913,81.98756660746004
Can Uzun,Frankfurt,German Bundesliga,19.0,1,Creative Midfielder,74.63438256658597,74.63438256658597
Christian Kofane,Leverkusen,German Bundesliga,19.0,1,Creative Forward,80.16847826086956,80.16847826086956
Christoph Baumgartner,RB Leipzig,German Bundesliga,25.0,2,Creative Midfielder | Two-Way Midfielder,77.39134382566587,80.63014527845037
Christos Tzolis,Club Brugge,Belgian Pro League,23.0,3,Creative Forward | Goal Threat Forward | High-Intensity Forward,85.10507246376812,90.08967391304348
Darío Osorio,Midtjylland,Danish Superliga,21.0,2,Creative Midfielder | Two-Way Midfielder,82.95278450363196,85.40920096852301
David Sousa,Casa Pia,Portuguese Primeira Liga,24.0,1,Aggressive Defender,75.52930728241563,75.52930728241563
Edgaras Utkus,Cercle Brugge,Belgian Pro League,25.0,1,Aggressive Defender,75.77353463587922,75.77353463587922
Elias Bakatukanda,Blau-Weiß Linz,Austrian Bundesliga,21.0,1,Aggressive Defender,78.58081705150977,78.58081705150977
Emmanuel Kakou,Cercle Brugge,Belgian Pro League,20.0,2,Aggressive Defender | Two-Way Defender,82.45115452930729,84.01865008880995
Emran Soglo,Zulte Waregem,Belgian Pro League,20.0,3,Creative Midfielder | Defensive Midfielder | Two-Way Midfielder,74.7776432606941,76.7772397094431
Esmir Bajraktarevic,PSV,Eredivisie,20.0,2,Creative Forward | High-Intensity Forward,78.04347826086956,81.68478260869566
Espen van Ee,Arouca,Portuguese Primeira Liga,22.0,1,Defensive Midfielder,72.13559322033899,72.13559322033899
Etienne Camara,Charleroi,Belgian Pro League,22.0,1,Defensive Midfielder,74.40677966101696,74.40677966101696
Fares Chaïbi,Frankfurt,German Bundesliga,22.0,1,Creative Midfielder,74.98184019370461,74.98184019370461
Felix Winther,FC Fredericia,Danish Superliga,25.0,1,Defensive Midfielder,77.64164648910412,77.64164648910412
Flávio Nazinho,Cercle Brugge,Belgian Pro League,22.0,2,Aggressive Defender | Two-Way Defender,87.36678507992895,87.95737122557725
Franculino Djú,Midtjylland,Danish Superliga,21.0,3,Creative Forward | Goal Threat Forward | High-Intensity Forward,78.58152173913042,82.85597826086955
Fredrik Hammer,Mechelen,Belgian Pro League,24.0,1,Defensive Midfielder,73.21307506053267,73.21307506053267
Gabriel Pereira,FC Copenhagen,Danish Superliga,25.0,2,Aggressive Defender | Two-Way Defender,73.89253996447601,76.44671403197157
