Player,Squad,League,Age,Min,Similarity,Quality,Succession_Score,Replacement_For,Recruitment_Verdict
Darío Osorio,Midtjylland,Danish Superliga,21.0,1922,58.6,80.1,67.2,Bruno Guimaraes,STRONG OPTION
Nilson Angulo,Anderlecht,Belgian Pro League,22.0,1894,58.0,75.3,64.9,Bruno Guimaraes,SCOUT FURTHER
Rihito Yamamoto,Sint-Truiden,Belgian Pro League,23.0,3281,59.0,71.3,63.9,Bruno Guimaraes,SCOUT FURTHER
Thomas Jørgensen,Viborg,Danish Superliga,19.0,2579,49.1,83.1,62.7,Bruno Guimaraes,SCOUT FURTHER
Pablo Gozalbez,Arouca,Portuguese Primeira Liga,24.0,1067,63.2,60.3,62.1,Bruno Guimaraes,SCOUT FURTHER
Richard Ríos,Benfica,Portuguese Primeira Liga,25.0,2276,61.7,61.9,61.8,Bruno Guimaraes,SCOUT FURTHER
Walid Ould-Chikh,Heracles Almelo,Eredivisie,25.0,1490,55.8,68.8,61.0,Bruno Guimaraes,SCOUT FURTHER
Abubakr Barry,Austria Wien,Austrian Bundesliga,25.0,2413,58.2,63.5,60.3,Bruno Guimaraes,SCOUT FURTHER
Stije Resink,Groningen,Eredivisie,22.0,2088,47.2,77.3,59.2,Bruno Guimaraes,SCOUT FURTHER
Patrick Wimmer,Wolfsburg,German Bundesliga,24.0,1621,51.1,69.3,58.4,Bruno Guimaraes,SCOUT FURTHER
Mario Dorgelès,Braga,Portuguese Primeira Liga,20.0,996,75.6,47.5,64.4,Sandro Tonali,SCOUT FURTHER
Victor Froholdt,Porto,Portuguese Primeira Liga,19.0,2872,62.1,60.4,61.4,Sandro Tonali,SCOUT FURTHER
Irakli Yegoian,Excelsior,Eredivisie,21.0,2672,65.6,54.7,61.3,Sandro Tonali,SCOUT FURTHER
Jordan Holsgrove,Estoril,Portuguese Primeira Liga,25.0,2830,60.7,61.8,61.1,Sandro Tonali,SCOUT FURTHER
Max Ejdum,Odense,Danish Superliga,20.0,2046,58.1,65.4,61.0,Sandro Tonali,SCOUT FURTHER
Kodai Sano,NEC Nijmegen,Eredivisie,21.0,3060,54.9,69.9,60.9,Sandro Tonali,SCOUT FURTHER
Quinten Timber,Feyenoord,Eredivisie,24.0,1317,53.0,72.4,60.8,Sandro Tonali,SCOUT FURTHER
Michał Skóraś,Gent,Belgian Pro League,25.0,2503,53.5,70.9,60.5,Sandro Tonali,SCOUT FURTHER
Angelo Stiller,Stuttgart,German Bundesliga,24.0,2743,69.6,46.4,60.3,Sandro Tonali,SCOUT FURTHER
Patrick Wimmer,Wolfsburg,German Bundesliga,24.0,1621,54.8,68.5,60.3,Sandro Tonali,SCOUT FURTHER
Shunsuke Mito,Sparta R.,Eredivisie,22.0,1861,74.8,58.1,68.1,Anthony Gordon,STRONG OPTION
Daan Rots,Twente,Eredivisie,24.0,2359,71.6,62.7,68.1,Anthony Gordon,STRONG OPTION
Kristian Arnstad,AGF,Danish Superliga,21.0,2611,68.3,58.8,64.5,Anthony Gordon,SCOUT FURTHER
Rafiki Said,Standard Liège,Belgian Pro League,25.0,2743,67.1,59.5,64.0,Anthony Gordon,SCOUT FURTHER
Ramiz Harakaté,Grazer AK,Austrian Bundesliga,23.0,2394,65.9,60.4,63.7,Anthony Gordon,SCOUT FURTHER
Olti Hyseni,SønderjyskE,Danish Superliga,18.0,1655,60.8,67.1,63.4,Anthony Gordon,SCOUT FURTHER
Tiago Tomás,Stuttgart,German Bundesliga,23.0,1020,51.0,80.4,62.8,Anthony Gordon,SCOUT FURTHER
Tobias Bech,AGF,Danish Superliga,23.0,2668,59.7,66.5,62.4,Anthony Gordon,SCOUT FURTHER
Moses Usor,LASK,Austrian Bundesliga,23.0,2259,48.5,82.7,62.2,Anthony Gordon,SCOUT FURTHER
Fabio Vieira,Hamburger SV,German Bundesliga,25.0,2206,64.3,58.5,62.0,Anthony Gordon,SCOUT FURTHER
